,Layer
ZT18A592,8
ZT18A593,8
ZT18A594,7
ZT18A595,7
ZT18A596,6
ZT18A597,3
ZT18A598,7
ZT18A599,4
ZT18A600,6
ZT18A601,1
ZT18A602,3
ZT18A603,3
ZT18A604,7
ZT18A605,3
ZT18A606,4
ZT18A607,8
ZT18A608,6
ZT18A609,8
ZT18A610,8
ZT18A611,3
ZT18A612,6
ZT18A613,6
ZT18A614,8
ZT18A615,2
ZT18A616,8
ZT18A617,7
ZT18A618,1
ZT18A619,7
ZT18A620,7
ZT18A621,3
ZT18A622,3
ZT18A623,8
ZT18A624,6
ZT18A625,7
ZT18A626,3
ZT18A627,3
ZT18A628,8
ZT18A629,8
ZT18A630,3
ZT18A631,4
ZT18A632,6
ZT18A633,6
ZT18A634,8
ZT18A635,4
ZT18A636,1
ZT18A637,3
ZT18A638,3
ZT18A639,8
ZT18A640,2
ZT18A641,8
ZT18A642,8
ZT18A643,7
ZT18A644,6
ZT18A645,8
ZT18A646,8
ZT18A647,6
ZT18A648,3
ZT18A649,7
ZT18A650,8
ZT18A651,3
ZT18A652,7
ZT18A653,8
ZT18A654,2
ZT18A655,8
ZT18A656,3
ZT18A657,3
ZT18A658,8
ZT18A659,8
ZT18A660,1
ZT18A661,7
ZT18A662,3
ZT18A663,4
ZT18A664,3
ZT18A665,3
ZT18A666,6
ZT18A667,8
ZT18A668,3
ZT18A669,8
ZT18A670,8
ZT18A671,6
ZT18A672,6
ZT18A673,8
ZT18A674,8
ZT18A675,8
ZT18A676,6
ZT18A677,1
ZT18A678,2
ZT18A679,8
ZT18A680,3
ZT18A681,8
ZT18A682,8
ZT18A683,6
ZT18A684,8
ZT18A685,8
ZT18A686,8
ZT18A687,8
ZT18A688,6
ZT18A689,3
ZT18A690,4
ZT18A691,8
ZT18A692,4
ZT18A693,7
ZT18A694,6
ZT18A695,4
ZT18A696,8
ZT18A697,8
ZT18A698,3
ZT18A699,4
ZT18A700,7
ZT18A701,7
ZT18A702,8
ZT18A703,7
ZT18A704,6
ZT18A705,6
ZT18A706,1
ZT18A707,8
ZT18A708,8
ZT18A709,2
ZT18A710,6
ZT18A711,3
ZT18A712,6
ZT18A713,8
ZT18A714,7
ZT18A715,4
ZT18A716,3
ZT18A717,1
ZT18A718,8
ZT18A719,7
ZT18A720,8
ZT18A721,8
ZT18A722,3
ZT18A723,3
ZT18A724,8
ZT18A725,8
ZT18A726,4
ZT18A727,3
ZT18A728,7
ZT18A729,2
ZT18A730,8
ZT18A731,2
ZT18A732,8
ZT18A733,1
ZT18A734,8
ZT18A735,3
ZT18A736,7
ZT18A737,3
ZT18A738,7
ZT18A739,6
ZT18A740,6
ZT18A741,4
ZT18A742,8
ZT18A743,4
ZT18A744,7
ZT18A745,4
ZT18A746,8
ZT18A747,6
ZT18A748,3
ZT18A749,3
ZT18A750,7
ZT18A751,3
ZT18A752,3
ZT18A753,8
ZT18A754,6
ZT18A755,6
ZT18A756,8
ZT18A757,6
ZT18A758,6
ZT18A759,4
ZT18A760,1
ZT18A761,4
ZT18A762,8
ZT18A763,8
ZT18A764,8
ZT18A765,1
ZT18A766,7
ZT18A767,1
ZT18A768,3
ZT18A769,3
ZT18A770,8
ZT18A771,4
ZT18A772,8
ZT18A773,6
ZT18A774,8
ZT18A775,3
ZT18A776,3
ZT18A777,8
ZT18A778,7
ZT18A779,7
ZT18A780,3
ZT18A781,8
ZT18A782,6
ZT18A783,7
ZT18A784,1
ZT18A785,4
ZT18A786,7
ZT18A787,3
ZT18A788,4
ZT18A789,8
ZT18A790,8
ZT18A791,3
ZT18A792,6
ZT18A793,8
ZT18A794,7
ZT18A795,7
ZT18A796,8
ZT18A797,6
ZT18A798,1
ZT18A799,8
ZT18A800,7
ZT18A801,6
ZT18A802,6
ZT18A803,1
ZT18A804,3
ZT18A805,8
ZT18A806,3
ZT18A807,8
ZT18A808,7
ZT18A809,4
ZT18A810,8
ZT18A811,4
ZT18A812,2
ZT18A813,4
ZT18A814,7
ZT18A815,8
ZT18A816,8
ZT18A817,6
ZT18A818,8
ZT18A819,8
ZT18A820,8
ZT18A821,3
ZT18A822,7
ZT18A823,4
ZT18A824,4
ZT18A825,2
ZT18A826,2
ZT18A827,4
ZT18A828,6
ZT18A829,6
ZT18A830,8
ZT18A831,7
ZT18A832,3
ZT18A833,1
ZT18A834,8
ZT18A835,4
ZT18A836,1
ZT18A837,6
ZT18A838,3
ZT18A839,1
ZT18A840,8
ZT18A841,8
ZT18A842,2
ZT18A843,1
ZT18A844,7
ZT18A845,8
ZT18A846,3
ZT18A847,8
ZT18A848,6
ZT18A849,7
ZT18A850,7
ZT18A851,4
ZT18A852,7
ZT18A853,4
ZT18A854,8
ZT18A855,3
ZT18A856,8
ZT18A857,2
ZT18A858,8
ZT18A859,3
ZT18A860,2
ZT18A861,4
ZT18A862,3
ZT18A863,7
ZT18A864,8
ZT18A865,8
ZT18A866,3
ZT18A867,1
ZT18A868,8
ZT18A869,7
ZT18A870,4
ZT18A871,8
ZT18A872,6
ZT18A873,8
ZT18A874,8
ZT18A875,1
ZT18A876,8
ZT18A877,8
ZT18A878,8
ZT18A879,6
ZT18A880,8
ZT18A881,8
ZT18A882,4
ZT18A883,6
ZT18A884,3
ZT18A885,4
ZT18A886,4
ZT18A887,8
ZT18A888,4
ZT18A889,8
ZT18A890,8
ZT18A891,7
ZT18A892,6
ZT18A893,4
ZT18A894,2
ZT18A895,1
ZT18A896,7
ZT18A897,6
ZT18A898,7
ZT18A899,8
ZT18A900,8
ZT18A901,8
ZT18A902,7
ZT18A903,7
ZT18A904,3
ZT18A905,7
ZT18A906,3
ZT18A907,7
ZT18A908,7
ZT18A909,7
ZT18A910,6
ZT18A911,8
ZT18A912,8
ZT18A913,3
ZT18A914,8
ZT18A915,7
ZT18A916,3
ZT18A917,6
ZT18A918,5
ZT18A919,4
ZT18A920,4
ZT18A921,8
ZT18A922,3
ZT18A923,8
ZT18A924,6
ZT18A925,6
ZT18A926,6
ZT18A927,8
ZT18A928,8
ZT18A929,8
ZT18A930,3
ZT18A931,6
ZT18A932,6
ZT18A933,1
ZT18A934,8
ZT18A935,6
ZT18A936,8
ZT18A937,6
ZT18A938,7
ZT18A939,3
ZT18A940,8
ZT18A941,4
ZT18A942,2
ZT18A943,8
ZT18A944,1
ZT18A945,7
ZT18A946,6
ZT18A947,7
ZT18A948,8
ZT18A949,8
ZT18A950,7
ZT18A951,4
ZT18A952,6
ZT18A953,8
ZT18A954,7
ZT18A955,6
ZT18A956,1
ZT18A957,8
ZT18A958,6
ZT18A959,6
ZT18A960,7
ZT18A961,3
ZT18A962,3
ZT18A963,8
ZT18A964,6
ZT18A965,3
ZT18A966,7
ZT18A967,8
ZT18A968,6
ZT18A969,7
ZT18A970,3
ZT18A971,3
ZT18A972,3
ZT18A973,8
ZT18A974,3
ZT18A975,3
ZT18A976,7
ZT18A977,2
ZT18A978,3
ZT18A979,7
ZT18A980,1
ZT18A981,8
ZT18A982,3
ZT18A983,4
ZT18A984,7
ZT18A985,7
ZT18A986,2
ZT18A987,8
ZT18A988,3
ZT18A989,4
ZT18A990,4
ZT18A991,7
ZT18A992,8
ZT18A993,1
ZT18A994,8
ZT18A995,8
ZT18A996,4
ZT18A997,8
ZT18A998,3
ZT18A999,6
ZT18A1000,8
ZT18A1001,8
ZT18A1002,7
ZT18A1003,8
ZT18A1004,6
ZT18A1005,8
ZT18A1006,6
ZT18A1007,6
ZT18A1008,8
ZT18A1009,8
ZT18A1010,7
ZT18A1011,4
ZT18A1012,4
ZT18A1013,8
ZT18A1014,1
ZT18A1015,3
ZT18A1016,7
ZT18A1017,1
ZT18A1018,4
ZT18A1019,6
ZT18A1020,8
ZT18A1021,8
ZT18A1022,8
ZT18A1023,6
ZT18A1024,8
ZT18A1025,3
ZT18A1026,3
ZT18A1027,4
ZT18A1028,7
ZT18A1029,8
ZT18A1030,8
ZT18A1031,8
ZT18A1032,4
ZT18A1033,5
ZT18A1034,2
ZT18A1035,1
ZT18A1036,1
ZT18A1037,8
ZT18A1038,3
ZT18A1039,8
ZT18A1040,7
ZT18A1041,6
ZT18A1042,3
ZT18A1043,3
ZT18A1044,7
ZT18A1045,7
ZT18A1046,8
ZT18A1047,5
ZT18A1048,3
ZT18A1049,7
ZT18A1050,4
ZT18A1051,8
ZT18A1052,8
ZT18A1053,7
ZT18A1054,7
ZT18A1055,1
ZT18A1056,4
ZT18A1057,8
ZT18A1058,4
ZT18A1059,8
ZT18A1060,3
ZT18A1061,8
ZT18A1062,4
ZT18A1063,7
ZT18A1064,3
ZT18A1065,7
ZT18A1066,7
ZT18A1067,6
ZT18A1068,5
ZT18A1069,4
ZT18A1070,2
ZT18A1071,8
ZT18A1072,7
ZT18A1073,8
ZT18A1074,7
ZT18A1075,6
ZT18A1076,8
ZT18A1077,4
ZT18A1078,6
ZT18A1079,8
ZT18A1080,3
ZT18A1081,7
ZT18A1082,8
ZT18A1083,3
ZT18A1084,6
ZT18A1085,6
ZT18A1086,4
ZT18A1087,8
ZT18A1088,6
ZT18A1089,6
ZT18A1090,2
ZT18A1091,3
ZT18A1092,3
ZT18A1093,1
ZT18A1094,8
ZT18A1095,8
ZT18A1096,8
ZT18A1097,8
ZT18A1098,8
ZT18A1099,4
ZT18A1100,4
ZT18A1101,7
ZT18A1102,8
ZT18A1103,8
ZT18A1104,8
ZT18A1105,6
ZT18A1106,6
ZT18A1107,1
ZT18A1108,8
ZT18A1109,6
ZT18A1110,7
ZT18A1111,3
ZT18A1112,6
ZT18A1113,8
ZT18A1114,7
ZT18A1115,8
ZT18A1116,1
ZT18A1117,6
ZT18A1118,8
ZT18A1119,4
ZT18A1120,8
ZT18A1121,8
ZT18A1122,1
ZT18A1123,4
ZT18A1124,6
ZT18A1125,7
ZT18A1126,8
ZT18A1127,7
ZT18A1128,8
ZT18A1129,4
ZT18A1130,2
ZT18A1131,8
ZT18A1132,4
ZT18A1133,8
ZT18A1134,2
ZT18A1135,8
ZT18A1136,6
ZT18A1137,7
ZT18A1138,1
ZT18A1139,8
ZT18A1140,1
ZT18A1141,8
ZT18A1142,8
ZT18A1143,8
ZT18A1144,6
ZT18A1145,8
ZT18A1146,2
ZT18A1147,7
ZT18A1148,3
ZT18A1149,7
ZT18A1150,4
ZT18A1151,4
ZT18A1152,8
ZT18A1153,2
ZT18A1154,8
ZT18A1155,4
ZT18A1156,8
ZT18A1157,8
ZT18A1158,7
ZT18A1159,3
ZT18A1160,8
ZT18A1161,8
ZT18A1162,3
ZT18A1163,8
ZT18A1164,7
ZT18A1165,3
ZT18A1166,3
ZT18A1167,6
ZT18A1168,4
ZT18A1169,8
ZT18A1170,6
ZT18A1171,3
ZT18A1172,3
ZT18A1173,8
ZT18A1174,8
ZT18A1175,8
ZT18A1176,8
ZT18A1177,8
ZT18A1178,3
ZT18A1179,6
ZT18A1180,8
ZT18A1181,8
ZT18A1182,8
ZT18A1183,6
ZT18A1184,6
ZT18A1185,3
ZT18A1186,7
ZT18A1187,8
ZT18A1188,8
ZT18A1189,2
ZT18A1190,8
ZT18A1191,8
ZT18A1192,7
ZT18A1193,3
ZT18A1194,7
ZT18A1195,6
ZT18A1196,8
ZT18A1197,8
ZT18A1198,3
ZT18A1199,3
ZT18A1200,3
ZT18A1201,4
ZT18A1202,1
ZT18A1203,6
ZT18A1204,7
ZT18A1205,6
ZT18A1206,8
ZT18A1207,3
ZT18A1208,8
ZT18A1209,4
ZT18A1210,6
ZT18A1211,8
ZT18A1212,6
ZT18A1213,8
ZT18A1214,6
ZT18A1215,6
ZT18A1216,6
ZT18A1217,6
ZT18A1218,8
ZT18A1219,6
ZT18A1220,3
ZT18A1221,4
ZT18A1222,6
ZT18A1223,4
ZT18A1224,8
ZT18A1225,2
ZT18A1226,1
ZT18A1227,4
ZT18A1228,6
ZT18A1229,3
ZT18A1230,6
ZT18A1231,7
ZT18A1232,1
ZT18A1233,3
ZT18A1234,8
ZT18A1235,6
ZT18A1236,1
ZT18A1237,3
ZT18A1238,3
ZT18A1239,4
ZT18A1240,8
ZT18A1241,8
ZT18A1242,6
ZT18A1243,7
ZT18A1244,6
ZT18A1245,4
ZT18A1246,6
ZT18A1247,6
ZT18A1248,7
ZT18A1249,4
ZT18A1250,3
ZT18A1251,7
ZT18A1252,7
ZT18A1253,3
ZT18A1254,7
ZT18A1255,3
ZT18A1256,6
ZT18A1257,1
ZT18A1258,3
ZT18A1259,8
ZT18A1260,2
ZT18A1261,8
ZT18A1262,1
