,Layer
ZT12C527,6
ZT12C528,8
ZT12C529,5
ZT12C530,6
ZT12C531,3
ZT12C532,3
ZT12C533,8
ZT12C534,4
ZT12C535,4
ZT12C536,3
ZT12C537,3
ZT12C538,2
ZT12C539,4
ZT12C540,3
ZT12C541,6
ZT12C542,7
ZT12C543,8
ZT12C544,8
ZT12C545,8
ZT12C546,3
ZT12C547,4
ZT12C548,5
ZT12C549,8
ZT12C550,3
ZT12C551,7
ZT12C552,8
ZT12C553,3
ZT12C554,8
ZT12C555,3
ZT12C556,6
ZT12C557,3
ZT12C558,8
ZT12C559,1
ZT12C560,8
ZT12C561,7
ZT12C562,3
ZT12C563,3
ZT12C564,4
ZT12C565,6
ZT12C566,6
ZT12C567,6
ZT12C568,5
ZT12C569,8
ZT12C570,3
ZT12C571,1
ZT12C572,8
ZT12C573,2
ZT12C574,8
ZT12C575,6
ZT12C576,6
ZT12C577,8
ZT12C578,8
ZT12C579,2
ZT12C580,2
ZT12C581,2
ZT12C582,1
ZT12C583,3
ZT12C584,1
ZT12C585,7
ZT12C586,2
ZT12C587,8
ZT12C588,5
ZT12C589,8
ZT12C590,6
ZT12C591,3
ZT12C592,3
ZT12C593,4
ZT12C594,3
ZT12C595,8
ZT12C596,3
ZT12C597,3
ZT12C598,4
ZT12C599,7
ZT12C600,4
ZT12C601,3
ZT12C602,6
ZT12C603,2
ZT12C604,7
ZT12C605,3
ZT12C606,7
ZT12C607,8
ZT12C608,3
ZT12C609,8
ZT12C610,3
ZT12C611,3
ZT12C612,1
ZT12C613,6
ZT12C614,1
ZT12C615,1
ZT12C616,2
ZT12C617,8
ZT12C618,6
ZT12C619,3
ZT12C620,6
ZT12C621,8
ZT12C622,7
ZT12C623,8
ZT12C624,8
ZT12C625,6
ZT12C626,4
ZT12C627,8
ZT12C628,1
ZT12C629,6
ZT12C630,7
ZT12C631,7
ZT12C632,3
ZT12C633,4
ZT12C634,6
ZT12C635,3
ZT12C636,7
ZT12C637,8
ZT12C638,4
ZT12C639,8
ZT12C640,7
ZT12C641,8
ZT12C642,2
ZT12C643,4
ZT12C644,4
ZT12C645,2
ZT12C646,7
ZT12C647,4
ZT12C648,3
ZT12C649,8
ZT12C650,6
ZT12C651,8
ZT12C652,7
ZT12C653,1
ZT12C654,8
ZT12C655,3
ZT12C656,3
ZT12C657,1
ZT12C658,5
ZT12C659,8
ZT12C660,5
ZT12C661,3
ZT12C662,4
ZT12C663,7
ZT12C664,8
ZT12C665,3
ZT12C666,6
ZT12C667,3
ZT12C668,3
ZT12C669,7
ZT12C670,8
ZT12C671,4
ZT12C672,6
ZT12C673,8
ZT12C674,3
ZT12C675,8
ZT12C676,7
ZT12C677,8
ZT12C678,1
ZT12C679,2
ZT12C680,8
ZT12C681,1
ZT12C682,1
ZT12C683,3
ZT12C684,8
ZT12C685,4
ZT12C686,3
ZT12C687,2
ZT12C688,3
ZT12C689,7
ZT12C690,2
ZT12C691,6
ZT12C692,3
ZT12C693,5
ZT12C694,6
ZT12C695,1
ZT12C696,7
ZT12C697,6
ZT12C698,7
ZT12C699,1
ZT12C700,3
ZT12C701,8
ZT12C702,4
ZT12C703,6
ZT12C704,7
ZT12C705,3
ZT12C706,6
ZT12C707,6
ZT12C708,8
ZT12C709,8
ZT12C710,8
ZT12C711,6
ZT12C712,3
ZT12C713,6
ZT12C714,6
ZT12C715,8
ZT12C716,1
ZT12C717,3
ZT12C718,4
ZT12C719,7
ZT12C720,7
ZT12C721,8
ZT12C722,7
ZT12C723,8
ZT12C724,7
ZT12C725,7
ZT12C726,3
ZT12C727,3
ZT12C728,8
ZT12C729,1
ZT12C730,3
ZT12C731,2
ZT12C732,3
ZT12C733,6
ZT12C734,8
ZT12C735,8
ZT12C736,1
ZT12C737,6
ZT12C738,1
ZT12C739,8
ZT12C740,6
ZT12C741,7
ZT12C742,1
ZT12C743,6
ZT12C744,1
ZT12C745,6
ZT12C746,6
ZT12C747,3
ZT12C748,3
ZT12C749,4
ZT12C750,1
ZT12C751,6
ZT12C752,8
ZT12C753,1
ZT12C754,3
ZT12C755,5
ZT12C756,3
ZT12C757,7
ZT12C758,7
ZT12C759,4
ZT12C760,1
ZT12C761,8
ZT12C762,6
ZT12C763,6
ZT12C764,8
ZT12C765,1
ZT12C766,3
ZT12C767,2
ZT12C768,3
ZT12C769,6
ZT12C770,2
ZT12C771,8
ZT12C772,2
ZT12C773,4
ZT12C774,8
ZT12C775,8
ZT12C776,3
ZT12C777,7
ZT12C778,3
ZT12C779,8
ZT12C780,7
ZT12C781,6
ZT12C782,8
ZT12C783,8
ZT12C784,6
ZT12C785,1
ZT12C786,1
ZT12C787,3
ZT12C788,7
ZT12C789,3
ZT12C790,8
ZT12C791,1
ZT12C792,5
ZT12C793,1
ZT12C794,2
ZT12C795,6
ZT12C796,7
ZT12C797,3
ZT12C798,7
ZT12C799,3
ZT12C800,4
ZT12C801,8
ZT12C802,8
ZT12C803,6
ZT12C804,8
ZT12C805,6
ZT12C806,8
ZT12C807,3
ZT12C808,3
ZT12C809,4
ZT12C810,6
ZT12C811,8
ZT12C812,8
ZT12C813,3
ZT12C814,8
ZT12C815,4
ZT12C816,3
ZT12C817,4
ZT12C818,6
ZT12C819,8
ZT12C820,7
ZT12C821,6
ZT12C822,8
ZT12C823,8
ZT12C824,3
ZT12C825,3
ZT12C826,4
ZT12C827,3
ZT12C828,3
ZT12C829,8
ZT12C830,3
ZT12C831,8
ZT12C832,8
ZT12C833,8
ZT12C834,8
ZT12C835,8
ZT12C836,1
ZT12C837,4
ZT12C838,6
ZT12C839,8
ZT12C840,8
ZT12C841,8
ZT12C842,6
ZT12C843,8
ZT12C844,7
ZT12C845,7
ZT12C846,1
ZT12C847,7
ZT12C848,1
ZT12C849,8
ZT12C850,8
ZT12C851,8
ZT12C852,8
ZT12C853,4
ZT12C854,6
ZT12C855,8
ZT12C856,6
ZT12C857,3
ZT12C858,8
ZT12C859,7
ZT12C860,3
ZT12C861,3
ZT12C862,7
ZT12C863,8
ZT12C864,6
ZT12C865,8
ZT12C866,2
ZT12C867,1
ZT12C868,6
ZT12C869,6
ZT12C870,4
ZT12C871,8
ZT12C872,8
ZT12C873,6
ZT12C874,8
ZT12C875,1
ZT12C876,3
ZT12C877,3
ZT12C878,6
ZT12C879,7
ZT12C880,1
ZT12C881,6
ZT12C882,3
ZT12C883,3
ZT12C884,8
ZT12C885,7
ZT12C886,2
ZT12C887,8
ZT12C888,8
ZT12C889,4
ZT12C890,8
ZT12C891,8
ZT12C892,6
ZT12C893,7
ZT12C894,1
ZT12C895,1
ZT12C896,6
ZT12C897,3
ZT12C898,6
ZT12C899,7
ZT12C900,4
ZT12C901,4
ZT12C902,3
ZT12C903,1
ZT12C904,1
ZT12C905,3
ZT12C906,5
ZT12C907,8
ZT12C908,1
ZT12C909,8
ZT12C910,3
ZT12C911,3
ZT12C912,1
ZT12C913,8
ZT12C914,3
ZT12C915,4
ZT12C916,7
ZT12C917,2
ZT12C918,6
ZT12C919,8
ZT12C920,8
ZT12C921,8
ZT12C922,8
ZT12C923,6
ZT12C924,6
ZT12C925,3
ZT12C926,4
ZT12C927,8
ZT12C928,6
ZT12C929,8
ZT12C930,3
ZT12C931,3
ZT12C932,2
ZT12C933,8
ZT12C934,2
ZT12C935,6
ZT12C936,3
ZT12C937,8
ZT12C938,2
ZT12C939,4
ZT12C940,5
ZT12C941,5
ZT12C942,3
ZT12C943,2
ZT12C944,1
ZT12C945,7
ZT12C946,5
ZT12C947,8
ZT12C948,7
ZT12C949,2
ZT12C950,3
ZT12C951,7
ZT12C952,6
ZT12C953,7
ZT12C954,4
ZT12C955,1
ZT12C956,3
ZT12C957,1
ZT12C958,4
ZT12C959,4
ZT12C960,4
ZT12C961,7
ZT12C962,8
ZT12C963,8
ZT12C964,8
ZT12C965,8
ZT12C966,4
ZT12C967,3
ZT12C968,5
ZT12C969,8
ZT12C970,3
ZT12C971,5
ZT12C972,7
ZT12C973,1
ZT12C974,3
ZT12C975,6
ZT12C976,1
ZT12C977,6
ZT12C978,8
ZT12C979,6
ZT12C980,6
ZT12C981,6
ZT12C982,2
ZT12C983,8
ZT12C984,3
ZT12C985,7
ZT12C986,8
ZT12C987,6
ZT12C988,3
ZT12C989,2
ZT12C990,2
ZT12C991,8
ZT12C992,6
ZT12C993,8
ZT12C994,3
ZT12C995,7
ZT12C996,8
ZT12C997,4
ZT12C998,3
ZT12C999,6
ZT12C1000,6
ZT12C1001,7
ZT12C1002,2
ZT12C1003,6
ZT12C1004,8
ZT12C1005,8
ZT12C1006,1
ZT12C1007,3
ZT12C1008,6
ZT12C1009,3
ZT12C1010,2
ZT12C1011,1
ZT12C1012,8
ZT12C1013,8
ZT12C1014,3
ZT12C1015,2
ZT12C1016,4
ZT12C1017,2
ZT12C1018,1
ZT12C1019,3
ZT12C1020,8
ZT12C1021,3
ZT12C1022,7
ZT12C1023,7
ZT12C1024,6
ZT12C1025,3
ZT12C1026,3
ZT12C1027,1
ZT12C1028,3
ZT12C1029,3
ZT12C1030,6
ZT12C1031,1
ZT12C1032,1
ZT12C1033,8
ZT12C1034,3
ZT12C1035,6
ZT12C1036,2
ZT12C1037,7
ZT12C1038,1
ZT12C1039,6
ZT12C1040,1
ZT12C1041,3
ZT12C1042,6
ZT12C1043,8
ZT12C1044,8
ZT12C1045,3
ZT12C1046,1
ZT12C1047,1
ZT12C1048,7
ZT12C1049,4
ZT12C1050,1
ZT12C1051,8
ZT12C1052,6
ZT12C1053,1
ZT12C1054,8
ZT12C1055,6
ZT12C1056,8
ZT12C1057,8
ZT12C1058,3
ZT12C1059,6
ZT12C1060,2
ZT12C1061,8
ZT12C1062,6
ZT12C1063,4
ZT12C1064,3
ZT12C1065,8
ZT12C1066,8
ZT12C1067,2
ZT12C1068,4
ZT12C1069,8
ZT12C1070,8
ZT12C1071,1
ZT12C1072,8
ZT12C1073,3
ZT12C1074,5
ZT12C1075,8
ZT12C1076,8
ZT12C1077,3
ZT12C1078,6
ZT12C1079,4
ZT12C1080,8
ZT12C1081,3
ZT12C1082,7
ZT12C1083,6
ZT12C1084,1
ZT12C1085,7
ZT12C1086,4
ZT12C1087,2
ZT12C1088,3
ZT12C1089,7
ZT12C1090,5
ZT12C1091,7
ZT12C1092,7
ZT12C1093,3
ZT12C1094,3
ZT12C1095,7
ZT12C1096,8
ZT12C1097,1
ZT12C1098,8
ZT12C1099,3
ZT12C1100,7
ZT12C1101,4
ZT12C1102,8
ZT12C1103,6
ZT12C1104,6
ZT12C1105,7
ZT12C1106,8
ZT12C1107,3
ZT12C1108,7
ZT12C1109,2
ZT12C1110,4
ZT12C1111,3
ZT12C1112,3
ZT12C1113,5
ZT12C1114,8
ZT12C1115,3
ZT12C1116,7
ZT12C1117,4
ZT12C1118,6
ZT12C1119,7
ZT12C1120,8
ZT12C1121,3
ZT12C1122,6
ZT12C1123,8
ZT12C1124,2
ZT12C1125,8
ZT12C1126,7
ZT12C1127,1
ZT12C1128,8
ZT12C1129,8
ZT12C1130,4
ZT12C1131,7
ZT12C1132,1
ZT12C1133,4
ZT12C1134,3
ZT12C1135,1
ZT12C1136,8
ZT12C1137,7
ZT12C1138,8
ZT12C1139,7
